1775804349.8765, 0.060, 0.005,1775804349.4765, 0.126, 0.086, 0.062
1775804349.9765, 0.061, 0.009,1775804349.4765, 0.126, 0.086, 0.062
1775804350.0765, 0.062, 0.008,1775804349.4765, 0.126, 0.086, 0.062
1775804350.1765, 0.063, 0.005,1775804349.4765, 0.126, 0.086, 0.062
1775804350.2765, 0.065, 0.004,1775804349.4765, 0.126, 0.086, 0.062
1775804350.3765, 0.066, 0.006,1775804349.4765, 0.126, 0.086, 0.062
1775804350.4765, 0.067, 0.006,1775804349.4765, 0.126, 0.086, 0.062
1775804350.5765, 0.069, 0.008,1775804349.4765, 0.126, 0.086, 0.062
1775804350.6765, 0.070, 0.007,1775804350.6765, 0.044, 0.019, 0.034
1775804350.7765, 0.071, 0.011,1775804350.6765, 0.044, 0.019, 0.034
1775804350.8765, 0.072, 0.007,1775804350.6765, 0.044, 0.019, 0.034
1775804350.9765, 0.073, 0.014,1775804350.6765, 0.044, 0.019, 0.034
1775804351.0765, 0.074, 0.011,1775804350.6765, 0.044, 0.019, 0.034
1775804351.1765, 0.076, 0.011,1775804350.6765, 0.044, 0.019, 0.034
1775804351.2765, 0.077, 0.010,1775804350.6765, 0.044, 0.019, 0.034
1775804351.3765, 0.078, 0.010,1775804350.6765, 0.044, 0.019, 0.034
1775804351.4765, 0.079, 0.014,1775804350.6765, 0.044, 0.019, 0.034
1775804351.5765, 0.080, 0.015,1775804350.6765, 0.044, 0.019, 0.034
1775804351.6765, 0.081, 0.010,1775804350.6765, 0.044, 0.019, 0.034
1775804351.7765, 0.082, 0.014,1775804350.6765, 0.044, 0.019, 0.034
1775804351.8765, 0.083, 0.014,1775804351.8765, 0.034, 0.030, 0.030
1775804351.9765, 0.084, 0.010,1775804351.8765, 0.034, 0.030, 0.030
1775804352.0765, 0.085, 0.016,1775804351.8765, 0.034, 0.030, 0.030
1775804352.1765, 0.086, 0.012,1775804351.8765, 0.034, 0.030, 0.030
1775804352.2765, 0.087, 0.010,1775804351.8765, 0.034, 0.030, 0.030
1775804352.3765, 0.088, 0.011,1775804351.8765, 0.034, 0.030, 0.030
1775804352.4765, 0.089, 0.012,1775804351.8765, 0.034, 0.030, 0.030
1775804352.5765, 0.090, 0.013,1775804351.8765, 0.034, 0.030, 0.030
1775804352.6765, 0.091, 0.011,1775804351.8765, 0.034, 0.030, 0.030
1775804352.7765, 0.092, 0.002,1775804351.8765, 0.034, 0.030, 0.030
1775804352.8765, 0.094, 0.003,1775804351.8765, 0.034, 0.030, 0.030
1775804352.9765, 0.095, 0.015,1775804351.8765, 0.034, 0.030, 0.030
1775804353.0765, 0.096, 0.013,1775804353.0765, 0.032, 0.022, 0.017
1775804353.1765, 0.097, 0.009,1775804353.0765, 0.032, 0.022, 0.017
1775804353.2765, 0.098, 0.012,1775804353.0765, 0.032, 0.022, 0.017
1775804353.3765, 0.099, 0.005,1775804353.0765, 0.032, 0.022, 0.017
1775804353.4765, 0.100, 0.003,1775804353.0765, 0.032, 0.022, 0.017
1775804353.5765, 0.101, 0.005,1775804353.0765, 0.032, 0.022, 0.017
1775804353.6765, 0.103, 0.001,1775804353.0765, 0.032, 0.022, 0.017
1775804353.7765, 0.104, 0.007,1775804353.0765, 0.032, 0.022, 0.017
1775804353.8765, 0.105, 0.002,1775804353.0765, 0.032, 0.022, 0.017
1775804353.9765, 0.106, 0.009,1775804353.0765, 0.032, 0.022, 0.017
1775804354.0765, 0.107, 0.017,1775804353.0765, 0.032, 0.022, 0.017
1775804354.1765, 0.108, 0.019,1775804353.0765, 0.032, 0.022, 0.017
1775804354.2765, 0.109, 0.021,1775804354.2765, 0.027, 0.034, 0.029
1775804354.3765, 0.110, 0.023,1775804354.2765, 0.027, 0.034, 0.029
1775804354.4765, 0.111, 0.016,1775804354.2765, 0.027, 0.034, 0.029
1775804354.5765, 0.112, 0.014,1775804354.2765, 0.027, 0.034, 0.029
1775804354.6765, 0.113, 0.024,1775804354.2765, 0.027, 0.034, 0.029
1775804354.7765, 0.114, 0.030,1775804354.2765, 0.027, 0.034, 0.029
